stock_code,data_type,rows,first_date,last_date,actual_periods,expected_periods,note
00020,daily_kline,1142,2021-12-30,2026-08-26,1142.0,1142.0,周期完整度 1142/1142
00020,daily_moneyflow,1137,2021-12-30,2026-08-26,1137.0,,
00020,institutional_holdings,19,,,,,
00020,monthly_kline,56,2021-12-31,2026-07-31,56.0,56.0,周期完整度 56/56
00020,monthly_moneyflow,59,2021-12-01,2026-08-21,59.0,,
00020,quarterly_kline,19,2021-12-31,2026-06-30,19.0,19.0,周期完整度 19/19
00020,quarterly_moneyflow,20,2021-12-31,2026-08-21,20.0,,
00020,weekly_kline,243,2021-12-31,2026-08-21,243.0,243.0,周期完整度 243/243
00020,weekly_moneyflow,242,2021-12-31,2026-08-21,242.0,,
00268,daily_kline,4095,2010-01-04,2026-08-26,4095.0,4096.0,周期完整度 4095/4096
00268,daily_moneyflow,1360,2021-02-03,2026-08-26,1360.0,,
00268,institutional_holdings,90,,,,,
00268,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00268,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
00268,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00268,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00268,weekly_kline,868,2010-01-08,2026-08-21,868.0,868.0,周期完整度 868/868
00268,weekly_moneyflow,289,2021-02-05,2026-08-21,289.0,,
00354,daily_kline,4083,2010-01-04,2026-08-26,4083.0,4096.0,周期完整度 4083/4096
00354,daily_moneyflow,1360,2021-02-03,2026-08-26,1360.0,,
00354,institutional_holdings,87,,,,,
00354,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00354,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
00354,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00354,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00354,weekly_kline,867,2010-01-08,2026-08-21,867.0,868.0,周期完整度 867/868
00354,weekly_moneyflow,289,2021-02-05,2026-08-21,289.0,,
00357,daily_kline,4067,2010-01-04,2026-08-26,4067.0,4096.0,周期完整度 4067/4096
00357,daily_moneyflow,1347,2021-02-03,2026-08-26,1347.0,,
00357,institutional_holdings,90,,,,,
00357,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00357,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
00357,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00357,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00357,weekly_kline,864,2010-01-08,2026-08-21,864.0,868.0,周期完整度 864/868
00357,weekly_moneyflow,287,2021-02-05,2026-08-21,287.0,,
00371,daily_kline,4091,2010-01-04,2026-08-26,4091.0,4096.0,周期完整度 4091/4096
00371,daily_moneyflow,1361,2021-02-03,2026-08-26,1361.0,,
00371,institutional_holdings,82,,,,,
00371,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00371,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
00371,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00371,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00371,weekly_kline,868,2010-01-08,2026-08-21,868.0,868.0,周期完整度 868/868
00371,weekly_moneyflow,290,2021-02-05,2026-08-21,290.0,,
00579,daily_kline,0,,,0.0,0.0,无数据
00579,daily_moneyflow,0,,,0.0,0.0,无数据
00579,institutional_holdings,0,,,0.0,0.0,无数据
00579,monthly_kline,0,,,0.0,0.0,无数据
00579,monthly_moneyflow,0,,,0.0,0.0,无数据
00579,quarterly_kline,0,,,0.0,0.0,无数据
00579,quarterly_moneyflow,0,,,0.0,0.0,无数据
00579,weekly_kline,0,,,0.0,0.0,无数据
00579,weekly_moneyflow,0,,,0.0,0.0,无数据
00700,daily_kline,4096,2010-01-04,2026-08-26,4096.0,4096.0,周期完整度 4096/4096
00700,daily_moneyflow,1365,2021-02-03,2026-08-26,1365.0,,
00700,institutional_holdings,89,,,,,
00700,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00700,monthly_moneyflow,68,2021-02-26,2026-08-21,68.0,,
