stock_code,data_type,rows,first_date,last_date,core_missing_rate,anomalies,grade,reasons
00020,daily_kline,1137,2021-12-30,2026-08-19,0.0,0,A,
00268,daily_kline,4090,2010-01-04,2026-08-19,0.0,0,A,
00354,daily_kline,4078,2010-01-04,2026-08-19,0.0,7,C,异常值 7 条；核心缺失率 0.0% 或异常
00357,daily_kline,4062,2010-01-04,2026-08-19,0.0,33,C,异常值 33 条；核心缺失率 0.0% 或异常
00371,daily_kline,4086,2010-01-04,2026-08-19,0.0,206,C,异常值 206 条；核心缺失率 0.0% 或异常
00700,daily_kline,4091,2010-01-04,2026-08-19,0.0,4,C,异常值 4 条；核心缺失率 0.0% 或异常
00788,daily_kline,1975,2018-08-08,2026-08-19,0.0,0,A,
01093,daily_kline,4090,2010-01-04,2026-08-19,0.0,451,C,异常值 451 条；核心缺失率 0.0% 或异常
01177,daily_kline,4088,2010-01-04,2026-08-19,0.0,246,C,异常值 246 条；核心缺失率 0.0% 或异常
01951,daily_kline,1761,2019-06-25,2026-08-19,0.0,0,A,
02202,daily_kline,2979,2014-06-25,2026-08-19,0.0,3,C,异常值 3 条；核心缺失率 0.0% 或异常
02611,daily_kline,2280,2017-04-11,2026-08-19,0.0,1,C,异常值 1 条；核心缺失率 0.0% 或异常
03033,daily_kline,1467,2020-08-28,2026-08-19,0.0,1,C,异常值 1 条；核心缺失率 0.0% 或异常
03800,daily_kline,3943,2010-01-04,2026-08-19,0.0,1,C,异常值 1 条；核心缺失率 0.0% 或异常
06060,daily_kline,2185,2017-09-28,2026-08-19,0.0,0,A,
00020,daily_moneyflow,1132,2021-12-30,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.1%）
00268,daily_moneyflow,1355,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
00354,daily_moneyflow,1355,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
00357,daily_moneyflow,1342,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
00371,daily_moneyflow,1356,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
00700,daily_moneyflow,1360,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
00788,daily_moneyflow,1342,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
01093,daily_moneyflow,1355,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
01177,daily_moneyflow,1355,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
01951,daily_moneyflow,1355,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
02202,daily_moneyflow,1354,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
02611,daily_moneyflow,1337,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
03033,daily_moneyflow,1311,2021-04-19,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.3%）
03800,daily_moneyflow,1212,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.2%）
06060,daily_moneyflow,1355,2021-02-03,2026-08-19,0.0,0,B,轻微缺失（核心 0.0% / 辅助 87.4%）
00020,weekly_kline,242,2021-12-31,2026-08-14,0.0,0,A,
00268,weekly_kline,867,2010-01-08,2026-08-14,0.0,0,A,
00354,weekly_kline,866,2010-01-08,2026-08-14,0.0,0,A,
00357,weekly_kline,863,2010-01-08,2026-08-14,0.0,0,A,
00371,weekly_kline,867,2010-01-08,2026-08-14,0.0,42,C,异常值 42 条；核心缺失率 0.0% 或异常
00700,weekly_kline,867,2010-01-08,2026-08-14,0.0,0,A,
00788,weekly_kline,419,2018-08-10,2026-08-14,0.0,0,A,
01093,weekly_kline,867,2010-01-08,2026-08-14,0.0,94,C,异常值 94 条；核心缺失率 0.0% 或异常
01177,weekly_kline,867,2010-01-08,2026-08-14,0.0,53,C,异常值 53 条；核心缺失率 0.0% 或异常
01951,weekly_kline,373,2019-06-28,2026-08-14,0.0,0,A,
02202,weekly_kline,632,2014-06-27,2026-08-14,0.0,0,A,
02611,weekly_kline,484,2017-04-14,2026-08-14,0.0,0,A,
03033,weekly_kline,312,2020-08-28,2026-08-14,0.0,12,C,异常值 12 条；核心缺失率 0.0% 或异常
03800,weekly_kline,837,2010-01-08,2026-08-14,0.0,0,A,
06060,weekly_kline,464,2017-09-29,2026-08-14,0.0,0,A,
00020,weekly_moneyflow,241,2021-12-31,2026-08-14,0.0,0,A,
00268,weekly_moneyflow,288,2021-02-05,2026-08-14,0.0,0,A,
00354,weekly_moneyflow,288,2021-02-05,2026-08-14,0.0,0,A,
00357,weekly_moneyflow,286,2021-02-05,2026-08-14,0.0,0,A,
00371,weekly_moneyflow,289,2021-02-05,2026-08-14,0.0,0,A,
00700,weekly_moneyflow,289,2021-02-05,2026-08-14,0.0,0,A,
00788,weekly_moneyflow,287,2021-02-05,2026-08-14,0.0,0,A,
01093,weekly_moneyflow,288,2021-02-05,2026-08-14,0.0,0,A,
01177,weekly_moneyflow,288,2021-02-05,2026-08-14,0.0,0,A,
01951,weekly_moneyflow,288,2021-02-05,2026-08-14,0.0,0,A,
02202,weekly_moneyflow,288,2021-02-05,2026-08-14,0.0,0,A,
02611,weekly_moneyflow,285,2021-02-05,2026-08-14,0.0,0,A,
03033,weekly_moneyflow,278,2021-04-23,2026-08-14,0.0,0,A,
03800,weekly_moneyflow,258,2021-02-05,2026-08-14,0.0,0,A,
06060,weekly_moneyflow,288,2021-02-05,2026-08-14,0.0,0,A,
00020,monthly_kline,56,2021-12-31,2026-07-31,0.0,0,A,
00268,monthly_kline,199,2010-01-31,2026-07-31,0.0,0,A,
00354,monthly_kline,199,2010-01-31,2026-07-31,0.0,0,A,
00357,monthly_kline,199,2010-01-31,2026-07-31,0.0,1,C,异常值 1 条；核心缺失率 0.0% 或异常
00371,monthly_kline,199,2010-01-31,2026-07-31,0.0,7,C,异常值 7 条；核心缺失率 0.0% 或异常
00700,monthly_kline,199,2010-01-31,2026-07-31,0.0,0,A,
00788,monthly_kline,96,2018-08-31,2026-07-31,0.0,0,A,
01093,monthly_kline,199,2010-01-31,2026-07-31,0.0,18,C,异常值 18 条；核心缺失率 0.0% 或异常
01177,monthly_kline,199,2010-01-31,2026-07-31,0.0,7,C,异常值 7 条；核心缺失率 0.0% 或异常
01951,monthly_kline,86,2019-06-30,2026-07-31,0.0,1,C,异常值 1 条；核心缺失率 0.0% 或异常
02202,monthly_kline,146,2014-06-30,2026-07-31,0.0,2,C,异常值 2 条；核心缺失率 0.0% 或异常
02611,monthly_kline,112,2017-04-30,2026-07-31,0.0,0,A,
03033,monthly_kline,72,2020-08-31,2026-07-31,0.0,3,C,异常值 3 条；核心缺失率 0.0% 或异常
03800,monthly_kline,199,2010-01-31,2026-07-31,0.011725,9,C,异常值 9 条；核心缺失率 1.2% 或异常
06060,monthly_kline,107,2017-09-30,2026-07-31,0.0,1,C,异常值 1 条；核心缺失率 0.0% 或异常
00020,monthly_moneyflow,58,2021-12-01,2026-07-31,0.0,0,A,
00268,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
00354,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
00357,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
00371,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
00700,monthly_moneyflow,67,2021-02-26,2026-07-31,0.0,0,A,
00788,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
01093,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
01177,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
01951,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
02202,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
02611,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
03033,monthly_moneyflow,66,2021-04-01,2026-07-31,0.0,0,A,
03800,monthly_moneyflow,61,2021-02-01,2026-07-31,0.0,0,A,
06060,monthly_moneyflow,68,2021-02-01,2026-07-31,0.0,0,A,
00020,quarterly_kline,19,2021-12-31,2026-06-30,0.0,4,C,异常值 4 条；核心缺失率 0.0% 或异常
00268,quarterly_kline,66,2010-03-31,2026-06-30,0.0,3,C,异常值 3 条；核心缺失率 0.0% 或异常
